,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
89,2015/03/19,（株）エスエルディー  代表者インタビュー,3223,150,100.0,"1,500","1,650",JQスタンダード,1650,103 ,37.9
90,2015/03/19,（株）ヒューマンウェブ  代表者インタビュー,3224,200,100.0,"1,700","1,800",マザーズ,1800,182.3 ,57.3
91,2015/03/19,三重交通グループホールディングス（株）  代表者インタビュー,3232,-,100.0,0,0,第一部,-,0,0
92,2015/03/19,（株）ショーケース・ティービー  代表者インタビュー,3909,150,100.0,"1,680","1,800",マザーズ,1800,150 ,45
93,2015/03/17,（株）コラボス  代表者インタビュー,3908,83.4,100.0,"3,260","3,620",マザーズ,3620,79.6 ,24.4
94,2015/03/17,（株）エムケイシステム  代表者インタビュー,3910,80,100.0,"3,300","3,500",JQスタンダード,3500,60 ,21
95,2015/03/02,ユナイテッド・スーパーマーケット・ホールディングス（株）,3222,-,100.0,0,0,第一部,-,0,0
96,2015/02/23,シリコンスタジオ（株）  代表者インタビュー,3907,270,100.0,"4,200","4,900",マザーズ,4900,280 ,82.5
97,2015/02/20,（株）ホクリヨウ  代表者インタビュー,1384,1300,100.0,430,460,第二部,460,900 ,330
98,2015/02/19,（株）ALBERT  代表者インタビュー,3906,200,100.0,"2,600","2,800",マザーズ,2800,108.8 ,46.3
99,2015/02/18,ファーストブラザーズ（株）,3454,1300,100.0,"1,920","2,040",マザーズ,2040,"1,200 ",375
100,2015/02/18,（株）ファーストロジック,6037,600,100.0,"1,600","1,770",マザーズ,1770,70 ,100.5
101,2015/02/12,KeePer技研（株）  代表者インタビュー,6036,600,100.0,"2,000","2,120",マザーズ,2120,200 ,120
102,2015/02/02,（株）アイ・アールジャパンホールディングス,6035,-,100.0,0,0,JQスタンダード,-,0,0
103,2015/01/05,（株）日本創発グループ,7814,-,100.0,0,0,JQスタンダード,-,0,0
